link_meci,data_meci,echipa_gazda,echipa_oaspete,goluri_gazda,goluri_oaspete,posesie_minge_gazda,posesie_minge_oaspete,total_suturi_gazda,total_suturi_oaspete,suturi_pe_poarta_gazda,suturi_pe_poarta_oaspete,cornere_gazda,cornere_oaspete,cartonase_galbene_gazda,cartonase_galbene_oaspete,cartonase_rosii_gazda,cartonase_rosii_oaspete,ofsaiduri_gazda,ofsaiduri_oaspete,lovituri_libere_gazda,lovituri_libere_oaspete,aruncari_de_la_margine_gazda,aruncari_de_la_margine_oaspete,faulturi_gazda,faulturi_oaspete,interventii_portar_gazda,interventii_portar_oaspete
https://www.flashscore.ro/meci/fotbal/poli-iasi-t84qisiU/sepsi-IDsPIcMA/sumar/statistici/0/?mid=YaNSvJQF,05.02.2021,Sepsi Sf. Gheorghe,Poli Iași,3,3,52%,48%,5,5,4,3,0,6,4,4,0,0,3,4,18,24,29,33,,,0,1
https://www.flashscore.ro/meci/fotbal/fc-arges-65I2MLv6/fc-astra-EihjKDVb/sumar/statistici/0/?mid=0nPKtud3,06.02.2021,Astra Giurgiu,FC Argeș,0,2,69%,31%,11,5,5,3,5,2,3,1,0,0,7,2,17,22,28,16,,,1,5
https://www.flashscore.ro/meci/fotbal/dinamo-bucuresti-rBgMi3MH/univ-craiova-bsd9fGaK/sumar/statistici/0/?mid=jyIXwwtM,06.02.2021,Univ. Craiova,Dinamo București,1,0,47%,53%,11,6,5,1,7,7,2,3,0,0,3,1,17,24,13,22,,,1,4
https://www.flashscore.ro/meci/fotbal/fc-hermannstadt-pUUuFXvI/fc-uta-arad-QDiPqBNj/sumar/statistici/0/?mid=f9OOuaB9,07.02.2021,UTA Arad,FC Hermannstadt,1,1,49%,51%,7,5,3,2,4,7,6,3,0,0,1,1,15,17,29,36,,,1,2
https://www.flashscore.ro/meci/fotbal/chindia-targoviste-nklx1aEq/gaz-metan-p0uYHXwo/sumar/statistici/0/?mid=nqLGsLtc,07.02.2021,Gaz Metan Mediaș,Chindia Târgoviște,1,0,51%,49%,6,5,5,2,5,3,3,5,0,0,0,6,18,15,24,23,,,2,4
https://www.flashscore.ro/meci/fotbal/fcsb-Gv2kjDpN/lps-hd-clinceni-Q7PNEIgJ/sumar/statistici/0/?mid=CCTQKcZq,07.02.2021,FCSB,LPS HD Clinceni,0,1,,,13,5,7,1,8,3,3,5,0,0,0,2,21,13,32,22,,,0,7
https://www.flashscore.ro/meci/fotbal/fc-voluntari-WIoSeFi4/viitorul-constanta-billykZb/sumar/statistici/0/?mid=pvsYIy4d,08.02.2021,FC Viitorul,FC Voluntari,0,1,67%,33%,8,6,5,4,3,3,1,7,0,0,1,2,24,8,19,13,,,3,5
https://www.flashscore.ro/meci/fotbal/cfr-cluj-4KfIhq7B/fc-botosani-GjY1JjUS/sumar/statistici/0/?mid=6mrUJHlj,08.02.2021,FC Botoșani,CFR Cluj,2,1,,,3,10,2,6,3,4,0,3,0,0,3,3,9,11,18,31,,,5,0
https://www.flashscore.ro/meci/fotbal/fc-arges-65I2MLv6/viitorul-constanta-billykZb/sumar/statistici/0/?mid=bs77XzJk,12.02.2021,FC Argeș,FC Viitorul,1,0,38%,62%,8,4,6,1,2,2,1,0,0,0,1,3,17,24,27,29,,,1,5
https://www.flashscore.ro/meci/fotbal/chindia-targoviste-nklx1aEq/fc-uta-arad-QDiPqBNj/sumar/statistici/0/?mid=t6dCWfYe,13.02.2021,Chindia Târgoviște,UTA Arad,1,1,,,6,3,1,2,4,5,2,4,0,0,5,1,19,23,25,26,,,1,0
